Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Intestinal Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intestinal Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intestinal Malabsorption,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intestinal Obstruction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intracerebral Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intracranial Abscess,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intracranial Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Intussusception,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Iridocyclitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Iron Deficiency Anemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Irritable Bowel Syndrome (IBS),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ischemia Of The Bowel,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ischemic Heart Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Itching Of Unknown Cause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Jaundice,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Jaw Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Joint Effusion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Juvenile Rheumatoid Arthritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Kaposi Sarcoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Kidney Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Kidney Disease Due To Longstanding Hypertension,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Kidney Failure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Kidney Stone,Drink at least 2-3 liters of water daily,Reduce sodium intake,Limit oxalate-rich foods,Follow prescribed dietary advice
Knee Ligament Or Meniscus Tear,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Labyrinthitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lactose Intolerance,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Laryngitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lateral Epicondylitis (Tennis Elbow),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Leukemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lewy Body Dementia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lice,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lichen Planus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lichen Simplex,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lipoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Liver Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Liver Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lumbago (Lower Back Pain),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lung Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lung Contusion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lyme Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lymphadenitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lymphangitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lymphedema,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lymphogranuloma Venereum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Lymphoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Macular Degeneration,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Magnesium Deficiency,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Malaria,Use mosquito repellent,Sleep under insecticide-treated nets,Take antimalarial medication as prescribed,Avoid standing water near home
Male Genitalia Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Malignant Hypertension,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Marfan Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Marijuana Abuse,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mastectomy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mastoiditis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Meckel Diverticulum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Melanoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Meniere Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Meningioma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Meningitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Menopause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Metabolic Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Metabolic Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Metastatic Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Migraine,Identify and avoid personal triggers,Rest in a dark quiet room during an attack,Take prescribed medications at first sign of migraine,Maintain regular sleep schedule
Missed Abortion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mitral Valve Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mittelschmerz,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Molluscum Contagiosum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mononeuritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mononucleosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Moyamoya Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mucositis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Multiple Myeloma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Multiple Sclerosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Mumps,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Muscle Spasm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Muscular Dystrophy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Myasthenia Gravis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Myelodysplastic Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Myocarditis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Myoclonus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Myopia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Myositis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Narcolepsy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Nasal Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Nasal Polyp,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Necrotizing Fasciitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Neonatal Jaundice,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Nerve Impingement Near The Shoulder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Neuralgia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Neurofibromatosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Neuropathy Due To Drugs,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Neurosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Niemann-Pick Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Nonalcoholic Liver Disease (Nash),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Noninfectious Gastroenteritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Normal Pressure Hydrocephalus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Obesity,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Obsessive Compulsive Disorder (Ocd),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Obstructive Sleep Apnea (OSA),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Omphalitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Onychomycosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound From Surgical Incision,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Abdomen,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Arm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Back,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Cheek,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Chest,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Ear,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Eye,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Face,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Foot,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Head,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Jaw,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Knee,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Lip,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Mouth,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Neck,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Nose,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Open Wound Of The Shoulder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Oppositional Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Optic Neuritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Oral Leukoplakia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Oral Mucosal Lesion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Oral Thrush (Yeast Infection),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Orbital Cellulitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Orthostatic Hypotension,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Osteoarthritis,Exercise to strengthen muscles around joints,Maintain healthy weight,Use pain relief medication as prescribed,Consider physical therapy
Osteochondroma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Osteochondrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Osteomyelitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Osteopetrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Osteoporosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Otitis Externa,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Otitis Media,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Otosclerosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ovarian Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ovarian Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ovarian Torsion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Overflow Incontinence,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pain After An Operation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pain Disorder Affecting The Neck,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pancreatic Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Panic Attack,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Panic Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Parasitic Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Parathyroid Adenoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Parkinson's Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Paronychia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Paroxysmal Supraventricular Tachycardia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Paroxysmal Ventricular Tachycardia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pelvic Fistula,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pelvic Inflammatory Disease (PID),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pelvic Organ Prolapse,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pemphigus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peptic Ulcer Disease,Take prescribed medications (PPIs/H2 blockers),Avoid NSAIDs and alcohol,"Eat small, frequent meals",Get tested and treated for H. pylori
Pericarditis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peripheral Arterial Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peripheral Arterial Embolism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peripheral Nerve Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Perirectal Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peritonitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peritonsillar Abscess,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Persistent Vomiting Of Unknown Cause,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Personality Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Peyronie Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pharyngitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Phimosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pilonidal Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pinguecula,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pinworm Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pituitary Adenoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pituitary Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pityriasis Rosea,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Placenta Previa,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Placental Abruption,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Plantar Fasciitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pleural Effusion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pneumoconiosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pneumonia,Rest and stay hydrated,Complete prescribed antibiotics,Avoid smoking,Get influenza and pneumococcal vaccines
Pneumothorax,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Analgesics,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Anticonvulsants,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Antidepressants,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Antihypertensives,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Antimicrobial Drugs,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Antipsychotics,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Ethylene Glycol,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Gas,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Opioids,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Poisoning Due To Sedatives,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Polycystic Kidney Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Polycystic Ovarian Syndrome (Pcos),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Polycystic Ovary Syndrome (PCOS),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Polycythemia Vera,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Polymyalgia Rheumatica,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Post-Traumatic Stress Disorder (Ptsd),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Postoperative Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Postpartum Depression,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Preeclampsia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pregnancy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Pregnancy Complications,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Premature Atrial Contractions (Pacs),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
